Sr.,Task,Deadline,Sub Task,Sub Task Deadline,Responsible,Project,Priority,Status,Progress,Key Remarks / Issues,Escalation
1,"PHP, IoT & Foundations",27-Feb-2026,"Environment setup (Laravel, Composer, MySQL, VS Code, Git)",25-Feb-2026,Hammaad Ahmad Khalid,IoT Webapp Development,High,Completed,100%,Foundation phase closed successfully before March implementation work started.,-
,,,"PHP basics practice (forms, functions, DB connection)",26-Feb-2026,,,,,,,
,,,"IoT fundamentals study (smart homes, industrial sensors, energy meters)",26-Feb-2026,,,,,,,
,,,Initial MySQL project structure planning,27-Feb-2026,,,,,,,
,,,First sample/sensor data entry into DB,27-Feb-2026,,,,,,,
2,Database Design & Migrations,03-Mar-2026,Create devices table,02-Mar-2026,Hammaad Ahmad Khalid,IoT Webapp Development,High,Completed,100%,"Core schema completed for devices, history, and latest-state caching.",-
,,,Create meter_readings table,03-Mar-2026,,,,,,,
,,,Create latest_meter_states table,03-Mar-2026,,,,,,,
,,,"Add foreign keys, indexes, and duplicate-protection rules",03-Mar-2026,,,,,,,
3,MQTT Integration Setup,05-Mar-2026,Install MQTT client package,04-Mar-2026,Hammaad Ahmad Khalid,IoT Webapp Development,High,Completed,100%,Broker connectivity established from Laravel.,-
,,,Configure broker connection and credentials,04-Mar-2026,,,,,,,
,,,Test broker connectivity from Laravel,05-Mar-2026,,,,,,,
4,MQTT Consumer Development,06-Mar-2026,Create mqtt:consume-meter command,06-Mar-2026,Hammaad Ahmad Khalid,IoT Webapp Development,High,Completed,100%,Consumer command created and verified with live payload reception.,-
,,,Subscribe to active device topic(s),06-Mar-2026,,,,,,,
,,,Receive MQTT payloads,06-Mar-2026,,,,,,,
,,,Parse JSON payload into reading fields,06-Mar-2026,,,,,,,
5,Data Storage Implementation,09-Mar-2026,Store incoming meter data in meter_readings,09-Mar-2026,Hammaad Ahmad Khalid,IoT Webapp Development,High,Completed,100%,End-to-end MQTT to DB path completed.,-
,,,Update latest_meter_states on every valid reading,09-Mar-2026,,,,,,,
,,,Update devices.last_seen_at,09-Mar-2026,,,,,,,
6,Debugging & Issue Fixing,11-Mar-2026,Fix device/topic matching issues,10-Mar-2026,Hammaad Ahmad Khalid,IoT Webapp Development,High,Completed,100%,Initial stabilization completed across ingestion and dashboard flow.,-
,,,Fix route/data issues affecting dashboard reads,11-Mar-2026,,,,,,,
,,,Resolve event/data display inconsistencies,11-Mar-2026,,,,,,,
7,Initial Dashboard Integration,13-Mar-2026,Fetch data from API/DB for dashboard,12-Mar-2026,Hammaad Ahmad Khalid,IoT Webapp Development,High,Completed,100%,Single-device dashboard delivered with realtime behavior.,-
,,,"Show live KPIs, charts, and readings table",13-Mar-2026,,,,,,,
,,,Verify realtime updates via Reverb/Echo,13-Mar-2026,,,,,,,
8,System Testing (Single Device),19-Mar-2026,Test MQTT -> DB -> Dashboard end-to-end flow,17-Mar-2026,Hammaad Ahmad Khalid,IoT Webapp Development,High,Completed,95%,Core single-device flow validated; structured edge-case logging moved to later improvement work.,-
,,,Validate stored data against source feed,18-Mar-2026,,,,,,,
,,,Verify dashboard behavior after restart / reload,19-Mar-2026,,,,,,,
9,System Review & Next-Phase Planning,20-Mar-2026,Review completed pilot architecture,20-Mar-2026,Hammaad Ahmad Khalid,IoT Webapp Development,High,Completed,100%,Pilot review completed before Eid break; multi-device backlog defined.,-
,,,Identify multi-device and validation gaps,20-Mar-2026,,,,,,,
,,,Prepare next implementation direction,20-Mar-2026,,,,,,,
10,Eid Holiday Break / Non-Working Window,23-Mar-2026,Eid-ul-Fitr holiday,21-Mar-2026,-,IoT Webapp Development,-,Holiday,-,Public holidays excluded from the working schedule.,-
,,,Eid-ul-Fitr holiday,22-Mar-2026,,,,,,,
,,,Pakistan Day / Eid public holiday overlap,23-Mar-2026,,,,,,,
11,Multi-Device Support & Testing,26-Mar-2026,Review consumer behavior for all active devices,24-Mar-2026,Hammaad Ahmad Khalid,IoT Webapp Development,High,Completed,100%,Confirmed that ingestion must remain global while display stays per-device.,-
,,,Verify per-device readings API direction,25-Mar-2026,,,,,,,
